id	experiment	treatment	conshet	time.start.shoaling	associated	total.visits	medianvisits	id.first.locate.food	time.first.locate.food	timefocalfinds	difbetweenfirstandfocal	totalforaging	bouts	average.bout.time	aggression	focalsize	average.shoal.size	diffbtwnfocalnshoal	totalremainingtime	percentageforaging	percentageforagingASIN
1	soc	2het	con	28.701	77.576	20	3.3675	NA	NA	NA	NA	NA	NA	NA	NA	29.775	34.3845	-4.6095	NA	NA	NA
6	soc	2het	con	8.99	122.27	16	7.853	NA	NA	NA	NA	NA	NA	NA	NA	24.813	29.4485	-4.6355	NA	NA	NA
11	soc	2het	con	104.709	37.492	6	3.1335	NA	NA	NA	NA	NA	NA	NA	NA	40.517	35.898	4.619	NA	NA	NA
16	soc	2het	con	48.55	80.487	8	5.6405	NA	NA	NA	NA	NA	NA	NA	NA	30.062	34.135	-4.073	NA	NA	NA
21	soc	2het	con	60.092	90.473	17	2.641	NA	NA	NA	NA	NA	NA	NA	NA	36.187	35.5255	0.6615	NA	NA	NA
29	soc	2het	con	19.63	53.568	8	2.508	NA	NA	NA	NA	NA	NA	NA	NA	26.122	31.9605	-5.8385	NA	NA	NA
38	soc	2het	con	38.093	31.343	6	5.9765	NA	NA	NA	NA	NA	NA	NA	NA	29.241	32.8535	-3.6125	NA	NA	NA
42	soc	2het	con	139.176	106.14	16	13.2725	NA	NA	NA	NA	NA	NA	NA	NA	39.835	37.4285	2.4065	NA	NA	NA
46	soc	2het	con	155.175	133.878	4	28.218	NA	NA	NA	NA	NA	NA	NA	NA	36.683	36.5315	0.1515	NA	NA	NA
51	soc	2het	con	101.836	57.707	7	4.5	NA	NA	NA	NA	NA	NA	NA	NA	41.166	38.637	2.529	NA	NA	NA
58	soc	2het	con	36.443	223.275	13	11.781	NA	NA	NA	NA	NA	NA	NA	NA	42.666	39.8505	2.8155	NA	NA	NA
60	soc	2het	con	52.157	123.827	15	13.3035	NA	NA	NA	NA	NA	NA	NA	NA	38.153	37.3605	0.7925	NA	NA	NA
61	soc	2het	con	591.068	7.411	1	7.411	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	soc	4het	con	2.656	120.738	24	4.5705	NA	NA	NA	NA	NA	NA	NA	NA	27.816	27.09875	0.71725	NA	NA	NA
7	soc	4het	con	22.825	105.634	10	8.442	NA	NA	NA	NA	NA	NA	NA	NA	31.478	30.3975	1.0805	NA	NA	NA
12	soc	4het	con	1.922	46.169	9	3.391	NA	NA	NA	NA	NA	NA	NA	NA	30.874	31.35425	-0.48025	NA	NA	NA
17	soc	4het	con	86.069	91.355	11	7.39	NA	NA	NA	NA	NA	NA	NA	NA	40.102	36.14825	3.95375	NA	NA	NA
22	soc	4het	con	1.062	294.375	8	7.468	NA	NA	NA	NA	NA	NA	NA	NA	28.62	31.7305	-3.1105	NA	NA	NA
28	soc	4het	con	25.713	178.263	11	12.111	NA	NA	NA	NA	NA	NA	NA	NA	40.147	36.99375	3.15325	NA	NA	NA
30	soc	4het	con	13.89	74.85	13	5.892	NA	NA	NA	NA	NA	NA	NA	NA	29.923	31.3125	-1.3895	NA	NA	NA
33	soc	4het	con	21.942	179.479	17	8.877	NA	NA	NA	NA	NA	NA	NA	NA	38.02	36.856	1.164	NA	NA	NA
43	soc	4het	con	37.615	294.171	6	21.8415	NA	NA	NA	NA	NA	NA	NA	NA	38.752	37.09725	1.65475	NA	NA	NA
47	soc	4het	con	2.937	175.677	15	7.981	NA	NA	NA	NA	NA	NA	NA	NA	41.322	36.72425	4.59775	NA	NA	NA
49	soc	4het	con	89.907	47.318	8	3.6595	NA	NA	NA	NA	NA	NA	NA	NA	42.693	38.67875	4.01425	NA	NA	NA
57	soc	4het	con	74.167	192.9	6	22.19	NA	NA	NA	NA	NA	NA	NA	NA	37.7	38.18875	-0.48875	NA	NA	NA
62	soc	4het	con	415.053	178.29	3	50.958	NA	NA	NA	NA	NA	NA	NA	NA	NA	30.95975	NA	NA	NA	NA
4	soc	gra	gra	2.328	140.522	19	5.453	NA	NA	NA	NA	NA	NA	NA	NA	27.953	25.55525	2.39775	NA	NA	NA
9	soc	gra	gra	7.029	66.243	9	4.405	NA	NA	NA	NA	NA	NA	NA	NA	35.255	30.23925	5.01575	NA	NA	NA
14	soc	gra	gra	9.537	90.532	9	9.281	NA	NA	NA	NA	NA	NA	NA	NA	27.846	29.92975	-2.08375	NA	NA	NA
19	soc	gra	gra	33.307	140.763	8	12.3905	NA	NA	NA	NA	NA	NA	NA	NA	32.088	30.56075	1.52725	NA	NA	NA
24	soc	gra	gra	10.403	134.978	15	7.078	NA	NA	NA	NA	NA	NA	NA	NA	33.032	30.823	2.209	NA	NA	NA
34	soc	gra	gra	1.64	95.77	8	5.049	NA	NA	NA	NA	NA	NA	NA	NA	36.479	38.72725	-2.24825	NA	NA	NA
36	soc	gra	gra	47.545	140.253	12	10.017	NA	NA	NA	NA	NA	NA	NA	NA	42.758	38.4135	4.3445	NA	NA	NA
40	soc	gra	gra	167.988	187.821	11	10.39	NA	NA	NA	NA	NA	NA	NA	NA	30.096	30.81775	-0.72175	NA	NA	NA
44	soc	gra	gra	3.77	111.084	10	8.074	NA	NA	NA	NA	NA	NA	NA	NA	32.135	29.7115	2.4235	NA	NA	NA
50	soc	gra	gra	62.196	202.702	15	8.1795	NA	NA	NA	NA	NA	NA	NA	NA	39.542	40.432	-0.89	NA	NA	NA
55	soc	gra	gra	23.98	47.853	9	4.391	NA	NA	NA	NA	NA	NA	NA	NA	30.269	31.51325	-1.24425	NA	NA	NA
59	soc	gra	gra	51.561	150.494	10	10.906	NA	NA	NA	NA	NA	NA	NA	NA	37.499	35.43975	2.05925	NA	NA	NA
65	soc	gra	gra	55.985	168.038	10	7.3705	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.80725	NA	NA	NA	NA
3	soc	ret	ret	18.238	71.427	15	4.265	NA	NA	NA	NA	NA	NA	NA	NA	30.761	26.58175	4.17925	NA	NA	NA
8	soc	ret	ret	29.298	71.114	12	4.588	NA	NA	NA	NA	NA	NA	NA	NA	33.335	34.60675	-1.27175	NA	NA	NA
13	soc	ret	ret	38.75	51.952	8	5.357	NA	NA	NA	NA	NA	NA	NA	NA	35.303	30.11675	5.18625	NA	NA	NA
18	soc	ret	ret	66.391	187.956	17	6.25	NA	NA	NA	NA	NA	NA	NA	NA	32.437	32.73625	-0.29925	NA	NA	NA
23	soc	ret	ret	13.699	65.822	15	2.249	NA	NA	NA	NA	NA	NA	NA	NA	23.109	28.69225	-5.58325	NA	NA	NA
26	soc	ret	ret	15.083	87.388	12	5.579	NA	NA	NA	NA	NA	NA	NA	NA	37.074	32.94625	4.12775	NA	NA	NA
31	soc	ret	ret	44.178	202.859	12	9.9185	NA	NA	NA	NA	NA	NA	NA	NA	39.269	37.28125	1.98775	NA	NA	NA
35	soc	ret	ret	6.375	124.795	11	4.969	NA	NA	NA	NA	NA	NA	NA	NA	41.179	42.58775	-1.40875	NA	NA	NA
39	soc	ret	ret	3.047	190.556	15	5.359	NA	NA	NA	NA	NA	NA	NA	NA	40.53	43.79	-3.26	NA	NA	NA
48	soc	ret	ret	33.14	99.911	13	5.938	NA	NA	NA	NA	NA	NA	NA	NA	27.18	32.26625	-5.08625	NA	NA	NA
53	soc	ret	ret	9.328	91.918	16	4.484	NA	NA	NA	NA	NA	NA	NA	NA	34.179	37.99525	-3.81625	NA	NA	NA
54	soc	ret	ret	3.047	190.556	15	5.359	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
63	soc	ret	ret	17.707	179.948	19	5.16	NA	NA	NA	NA	NA	NA	NA	NA	37.821	34.445	3.376	NA	NA	NA
5	soc	ski	ski	23.551	89.288	15	4.812	NA	NA	NA	NA	NA	NA	NA	NA	28.291	27.136	1.155	NA	NA	NA
10	soc	ski	ski	4.639	90.436	9	6.843	NA	NA	NA	NA	NA	NA	NA	NA	38.074	38.852	-0.778	NA	NA	NA
15	soc	ski	ski	15.401	87.11	12	5.948	NA	NA	NA	NA	NA	NA	NA	NA	38.576	37.7865	0.7895	NA	NA	NA
20	soc	ski	ski	12.781	167.622	17	8.031	NA	NA	NA	NA	NA	NA	NA	NA	37.512	32.60325	4.90875	NA	NA	NA
25	soc	ski	ski	32.125	15.767	4	2.906	NA	NA	NA	NA	NA	NA	NA	NA	42.445	42.0715	0.3735	NA	NA	NA
